Types,Nom,PV,Nb dégats,Caractéristique,Validation,Notes,Valentin,Mia
Autres,Je suis non binaire,6,1d3,"Beaucoup de blabla, pas beaucoup d'action au final. Au pire des cas, il endormira vos adversaires avec leur discour redondant",OK,,TRUE,FALSE
Humain,Mamaaan,10,1d10,"Car après tout, tous le monde a besoin de sa petite maman",OK,,FALSE,TRUE
Animal,Chien de SDF,6,1d3,Chien bizarre avec une frange,OK,,FALSE,FALSE
Humain,Ma ptite fomme,6,1d6,Elle est tout le temps là mais lors d'un combat lancé 1d6 : 1-2 = combat avec vous; 3-4 = fais la sieste et ne combat pas; 5 = boude et ne combat pas; 6 = combat avec le monstre,OK,,FALSE,FALSE
Humain,Votre batard de fils,4,1,"A Chaque tour et tant qu'il est en vie vous devez le nourir avec un consommable qui est instantannément avalé, peu importe son prix",OK,,FALSE,FALSE
Autres,Parasite,infini,0,Vous rend plus faible mais vous avez plus de chance d'esquive,OK,,FALSE,FALSE
Animal,Pégase (Petgaz),5,1d3,"Gros cheval ailé, vous aide aide à passer les ponts",OK,,FALSE,TRUE
Humain,Le ti' greg,4,2,"1- de dégât si vous maîtrisez un sort de type ""eau""",OK,,FALSE,TRUE
Autres,Centaure,10,1d6,dégats +2 contre Minautaure,OK,,FALSE,FALSE
Autres,Gnome fou ,4,1d3,donne 30 pieces si il reste en vie à la fin d'un combat,,,FALSE,FALSE
Humain,Casimodo,10,1d6,"Effraye vos ennemis, vous permet de fuir automatiquement un combat",,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
