Nom,Categorie,Effet_Principal,Valeur,Prix,Description
La Popo à la pastèque,Consommable,Soin,2,20,"ça a tout sauf le goût de la pastèque"
Croquette pour chien,Objet_Cle,Special,0,10,"Peut être donné au compagnon si type animal"
Bracelet de l'amitier,Accessoire,Modificateur,2,20,"Donne un bonus si tu as un compagnon"
Maxi sandwich,Consommable,Soin,5,50,"Maxi pain, maxi fromage, maxi plaisir"
Saucisson,Consommable,Soin,3,30,"Maman a dit que ça devait durer le mois"
Fromage qui pue,Consommable,Degats,2,30,"Peut etre lancer ou manger (2+, ou 3+ si vous l'avez depuis + de 5 tours)"
Petite binouze,Consommable,Soin,2,30,"Peut etre transformé en bouteille de verre après utilisation"
L'anneau de So Rond,Accessoire,Special,0,50,"Vous permet d'esquiver automatiquement un combat"
Smartphone,Objet_Cle,Special,0,100,"Usage inconnu"
Punaise soporifique,Consommable,Special,0,30,"Usage unique, empêche le monstre d'attaquer pendant 2 tours"
Mitaine,Accessoire,Special,0,50,"Vous protège d'une perte d'arme"
Pieux,Objet_Cle,Special,0,0,"Permet de neutraliser un vampire"
Sable,Consommable,Special,0,20,"Vous permet d'aveugler l'adversaire, il passe son tour"
Poudre à éternuer,Consommable,Modificateur,-2,20,"Fais éternuer l'ennemi (-2 pour l'ennemi)"
Boule puante,Consommable,Modificateur,-2,20,"Peut être jeter sur l'ennemi (-2 pour l'ennemi)"
Briquet,Consommable,Degats,1d3,30,"Utilisable 3 fois, 1d3 dégats de feu"
Une grosse bécane,Accessoire,Modificateur,1d3,1000,"Vous permet d'ajouter 1d3 à vos jets de déplacement"
Kiri gouté,Consommable,Soin,2,20,""
Pipas,Consommable,Soin,1,10,""
Clafoutis,Consommable,Soin,2,20,"Le clafoutis c'est exquis !"
Oeuf doré,Consommable,Special,5,5000,"Peut être jeter sur l'ennemi. Santé +5 / attaque +5"
Plume de phénix,Consommable,Special,0,100000,"Usage unique vous ranime"
Pizza,Consommable,Soin,4,40,"Contient du fromage, peut être partagé avec un compagnon ou jeté sur un ennemi"
Bouchon d'oreille,Accessoire,Special,0,30,"Peut vous protéger du bruit"
