"Nom,CA,PV,Degats,Recompense_Pieces,Description"
"Desseur Pokénul,10,10,1d3,10,""Le desseur le plus nul de sa génération à tel point qu'il jette des cailloux en criant attaque caillou racaille"""
"Trotro l'âne,11,7,1d3,10,""Une mélodie vous rentre dans la tête, vous ne pouvez l'attaquer au premier tour et il en profite pour vous donner des coups de sabot."""
"Le serpent tourmenter,12,5,1d3,10,""Ce serpent a perdu l'une de ses dents. S'il vous mord, il essaiera de vous empoisonner (1d6 tours de poison)."""
"La main baladeuse,13,6,1d3,10,""Cette main sans corps se balade, vous fait un doigt d'honneur et vous roue de coups. En cas de défaite, elle vous pique 5 pièces."""
"Chien punk ébourrifé,12,20,1d6,50,""Il fuit instantanément si vous avez des croquettes mais ne vous permet pas de gagner si vous êtes au dernier combat."""
"Hémophile,8,6,1d3,5,""Est-ce que vous allez vous taper avec un hémophile ? À vous de me le dire. (Faible au saignement)"""
"Une bande de groupie,10,10,1d3,20,""Elles sont folles de vous et vous arrachent vos vêtements en cas de défaite."""
"le lépreux,8,5,1d3,5,""S'il vous touche, vous attrapez un parasite."""
"Le Satyre,12,7,1d6,10,""Attire grâce à sa Flûte et vous tape avec ses sabots. (Faible à la Magie de glace)"""
"Lycaon,13,10,1d6,10,""Robert est un homme simple mais la nuit devient une bête sanguinaire. 1 dégât par tour de saignement. (Faible au Feu)"""
"Sucube,14,15,1d6,10,""Si vous êtes un homme, vous ne pouvez pas l'attaquer au premier tour. (Faible au Sacré)"""
"Steve,18,64,2d6,100,""Cet homme a tué un dragon en 7min, si vous ne l'attaquez pas il ne vous regardera pas car il est en speed run."""
"Dragon,16,20,2d6,50,""Si vous ne vous êtes pas battu avec Steve avant de tomber sur le dragon, le dragon sera mort par lui-même."""
"Wendigo,14,10,1d3,10,""Un cannibale très maigre qui ne peut pas s'arrêter de se nourrir."""
"Caïn,15,15,1d6,20,""Un vampire diurne. Si vous saignez, il a un bonus de +2 dans ses dégâts. (Sensible aux pieux)"""
"Renard Stellaire,14,4,1,10,""Sa vitesse est sa force. (Faible à la glace)"""
"L'arbre maudit,10,6,1d3,10,""Robuste mais lent. (Faible au feu)"""
"Une cuillère qui plie des gens,10,2,1d10,10,""A des pouvoirs psychiques mais inutilisables si vous n'êtes pas humain."""
"Araignée Géante,12,8,1d3,10,""Cette monstruosité vous fixe et vous bloque. 1 dégât par tour de poison."""
"Le grand méchant Lou,14,20,2d3,30,""Insensible aux dégâts de type air. (Faible aux plantes/terre)"""
"Doppelganger,15,20,1d6,100,""C'est vous-même. Vos propres dégâts subissent -2."""
"Sköll et Hati,15,10,2d6,50,""Des loups majestueux. Par une nuit d'éclipse, vous êtes de trop."""
"Moine déchu,14,8,2d3,20,""Un moine qui a renié ses principes et se bat avec des armes."""
"Prof ennuyant,10,2,1d3,10,""En cas de défaite, parle tellement qu'il vous endort pendant 2 tours."""
"Croque mitaine,13,10,2d3,20,""Vous perdez vos mitaines en cas de défaite."""
"Le boucher,12,7,1d6,20,""Il est pas bon mon saucisson ? Si vous êtes vegan il gagne +2 en dégâts."""
"Belzebuth,18,50,1d6,100,""Oooui je suis Belzebuth !"""
"Salamandre de cire,8,2,1,5,""Une erreur de la nature, ne sert à rien. (Faible au feu)"""
"Chat Potter,14,5,1d3,10,""Un gato peleando con una espada pequeña. (Faible à l'eau)"""
"Le rondouillar,10,8,1d6,20,""En cas de défaite il vous vole votre consommable qui vous donne le plus de bonus."""
"Ti nez zau russe,12,10,1d3,20,""Un t rex trizo."""
"Slime,8,2,0,10,""Pas très fort, juste il faut l'ignorer."""
"Harpie,13,5,1d6,10,""Une harpie avec des plumes."""
"Hippogriffe,15,15,1d6,30,""La chimère la plus connue, elle essaie de vous lacérer avec son bec et ses griffes."""
"Carcolh,16,5,1d20,10,""Un escargot monstrueux lent mais douloureux, n'attaque pas au premier tour."""
"Grenouille Humaine,11,7,1d6,10,""Vous fixe avec envie, mince il vous prend en chasse."""
"Minotaure,15,15,1d6,50,""Si vous perdez vous ne pouvez pas jouer pendant 2 tours car vous êtes perdu dans le labyrinthe."""
"Croqueuse de diamant,14,20,2d3,50,""Elle vous prend la moitié de votre argent en cas de défaite."""
"Marchand de sable,13,15,2d3,20,""Si vous avez du sable, vous avez le choix de combattre ou non."""
"Piou-Piou,10,2,1d3,10,""Gros poussin."""
"Méduses,12,6,1d6,20,""Provoque 'surprise', elles attaquent en 1er. Insensible aux sorts d'eau et de foudre."""
"Yeti,16,50,1d6,100,""Insensible aux sorts d'eau. (Faible au feu)"""
"Farfadet,15,30,1d4,50,""En cas de défaite, il vous vole tout votre butin."""
"Automate,16,10,2,10,""Dégât +1 pour l'automate si vous maîtrisez un sort de foudre."""
"Oie géante,12,10,2,10,""En cas de victoire, vous obtenez un œuf doré."""
"Les frères Grimm,13,12,1d6,50,""Invoque un monstre supplémentaire au hasard."""
"Phénix,16,20,2d6,0,""Oiseau ardent, si vous gagnez vous avez une chance sur 6 de récupérer une de ses plumes. (Faible à l'eau)"""
"Skin-walker,14,10,1d3,15,""Prend l'apparence de ton compagnon animal, fais attention de pas te tromper."""
"Horde de zombie,8,10,1d3,0,""Insensible à tout sauf au feu."""
"Fauchese,18,15,2d3,100,""Elle est là pour vous."""
"Feu follet,20,1,0,0,""Vous avez le choix de le suivre, 1 chance sur 2 de tomber sur un trésor ou un piège."""
"Eunuque en rute,12,10,1d6,20,""A la rage sur tout le monde (+2 dégâts sur les femmes, +4 pour les hommes)."""
"Le dahu,14,5,1d3,0,""Une simple chèvre qui grimpe des montagnes."""
"Cerbère,16,20,3d3,50,""Hercule ne l'a pas battu."""
"Airavata,16,40,1d6,100,""Un éléphant à trois têtes, son maître l'a abandonné."""
"Ange,20,100,1d20,500,""Une chance sur 3 qu'il soit déchu, vous devez résister à 2 attaques de 1d20."""
"Le Basilic,17,25,2d3,50,""sssc'est sssle ssBasilicccc"""
"Banshee,14,10,1d6,20,""Ses hurlements vous glacent le sang. (Faible aux bouchons d'oreille)"""
"Béhémoth,16,15,2d6,0,""Une créature massive."""
"Cancer,15,10,1d6,25,""Un énorme crabe vous attaque. (Faible au tranchant)"""
"Chien noir,13,5,1d3,20,""Le chien du malheur."""
"Chupacabra,14,15,2d3,30,""Si quelque chose se passe de mauvais c'est sûrement lui."""
"Dryade,14,10,1d3,10,""Esprit de la forêt."""
"Ver géant,12,20,2d3,40,""Cela fait des années que personne ne l'a vu, insensible aux sorts de plante."""
"Golem,16,20,1d6,30,""Ne réfléchit pas, il agit. (Faible à l'eau)"""
"Anubis,18,25,2d6,100,""Il vous propose un marché, inflige morsure."""
"Hydre de lerne,17,30,2d6,50,""Attention à ses têtes."""
"Lapin de Pâques,13,10,1d3,10,""Il en a marre de rien recevoir à Pâques. (Faible au feu)"""
"Lion de némée,15,15,2d3,50,""Un fauve avec une grande puissance."""
"Raiponse,14,20,1d6,500,""Marre d'être une princesse, vous attaque avec ses cheveux."""
"Gloutonie,13,20,2d3,20,""Le maître du Péché gourmandise, s'il vous bat il mange toute votre nourriture."""
"Wukong,19,30,2d6,200,""N'attaque pas les moines."""
"Sprite,15,5,1d3,10,""Et oui c'est qui se fait boire par ta daronne."""
"Tarasque,18,20,2d3,40,""Notre dragon français."""
"Sans Visage,15,15,2d6,300,""heeeuuuu heuu euuuu (Faible à l'eau)"""
"L'épouventail,12,10,1d6,10,""Contrôle les corbeaux. (Faible au feu)"""
"Dieu Cerf Benelic,15,10,1d6,0,""Sa tête vaut peut-être quelque chose."""
"TItan,18,50,2d6,500,""Juste puissant. (Faible à l'éclair)"""
"Un Caribou,12,5,1d3,20,""Juste un caribou, mais vous êtes sur son territoire."""
"L'addanc,14,15,2d3,40,""Ressemblant à un dragon, crocodile ou castor."""
"Slender man,15,10,1d12,60,""Vous fixe."""
"Valak,14,20,1d6,100,""Cette nonne va vous tuer."""
"The Rock,16,15,1d6,50,""caillou caillou caillou"""
"Leshen,15,20,2d6,40,""Un arbre vivant. (Faible au feu)"""
"Monstre mongole,5,1,1,1,""Pire monstre."""
