Nom,Types,Nb dégats classiques,Nb dégats si en face d'un point faible,Caractéristiques,Validation,Notes,Valentin,Mia
Dash,Foudre,0,0,Vous permet d'esquiver n'importe qu'elle attaque,OK,,TRUE,FALSE
Lame d'air,Air,1d6,1d6 1d3,Vous ne pourrais utilisez cette capaciter seulement si vous ètes main nu,OK,,FALSE,FALSE
Terrain boueux,Plante,1d3,1d6,Un accident est si vite arrivé...,OK,,FALSE,TRUE
Ciel d'azur,Air,2 d 6,2 d 6,pourfender les cieux grace à votre lame,OK,utilisable qu'avec un katana,TRUE,FALSE
Scadouch,Mystique,1d3,,,OK,1d6 si moine,TRUE,FALSE
Hémoroïde,Poison,1 par tour,2 par tour,Vous perdez 1 Pv par utilisation,OK,,FALSE,FALSE
Chant sopirifique,,,,Sort réservé au barde ,OK,,FALSE,FALSE
Libéré délivré,Eau,2 d 3,1d 3 1d6,Flechette de glace,OK,,FALSE,FALSE
Apparence trompeuse,Mystique,,,Vous permet de tranformer n'importe quel monstre en Piou-Piou,OK,,FALSE,FALSE
Petit croc,Air,1d3,2d6, Ré5ervé aux ogres,OK,,FALSE,FALSE
Invisibilité,,,,Vous permet d'évité jusqu'à 3 coups durant un combat,A revoir,,FALSE,FALSE
Flamme éternel,Feu,1d3,2d3,,OK,,FALSE,FALSE
Torrent de larme,Eau,1d6,2d3,Renvoyer le dans les jupons de sa mère,OK,,FALSE,FALSE
Cri strident,Air,1d3,1d6,,OK,,FALSE,FALSE
Lierre,Plante,1 par tour,2 par tour,,OK,,FALSE,FALSE
Canicule,Feu,,,attaques de l'ennemi -3 car il a trop chaud,OK,,FALSE,FALSE
Maitrise de la tentacule,Eau,,,Vous permet d'avoir une main supplémentaire,,,FALSE,FALSE
Immobilisation ,,,,Votre ennemi ne peut pas vous attaquer,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
,,,,,,,FALSE,FALSE
