Nom,Emplacement,Mains_Requises,Jet_Des,Bonus_Fixe,Type_Degats,Prix,Description
Katana,Arme,1,2d3,0,Force,20,"Peut-être associé au type vent, le combo s'appelle ciel d'azur"
Dague,Arme,1,1d3,0,Saignement,20,"Peut provoquer un saignement"
Excalibur,Arme,2,1d6,3,Force,1000,"Le pouvoir de les gouverner tous. Vous pouvez obtenir cette arme uniquement si vous passez les épreuves du Roi Arthur"
Babouche,Arme,1,1d3,0,Projectile,5,"Vos traumatismes vous rendent plus fort, si vous ratez votre lancer vous perdez votre babouche"
Fouet,Arme,1,1d3,0,Saignement,10,"Le bruit du fouet qui claque me rappelle mon enfance"
Bonnes vieilles godasses,Bottes,0,0,3,Aucun,50,"Ne subit pas l'effet terrain glissant"
Bouteille de verre,Arme,1,1d3,0,Force,20,"Peut être obtenue avec petite binouze"
Canif,Arme,1,1d3,0,Saignement,5,""
Claquette/chaussette,Bottes,0,0,0,Aucun,0,"A revoir"
Bottes en caoutchouc,Bottes,0,0,0,Aucun,15,""
