,Nom ,Caractéristiques,Effets,Validation,Notes
Malus,Le cycle de la vie,Votre compagnon meurt dans d'étranges circonstances,- 4 à votre prochain combat,OK,
Trouvaille,La légende du roi Arthur,Vous tombez sur un mausolet et metter la main sur excalibur. Effectuez un jet de 1d6 pour pouvoir la récupéré ,Excalibur ,A revoir,
Malus,Repas chez mamie,Il était bon ce gigot ? , Vos heures de sieste qui suivent ce repas est égal au résultat du lancé d'1d3,OK,
Malus,Perte de contrôle,"En vous entraînant à jeter des sorts, vous vous jetez malencontreusement un sort à vous même",-1d3,OK,
Malus,Marche droit devant toi,Impossible de vous en souvenir...,Vous perdez la capacité d'utilisez un sort ,OK,Nom à revoir car pas marrant
Bonus,"J'aime quand c'est cru, quand c'est périmé",Vous tombez sur un casse-croute douteux mais ne passez pas à côté de l'opportunité,1d3+,OK,
Malus,Ampoule aux pieds,"Aie, avez-vous vos bonnes vieilles godasses ? ",Vos jet de déplacement sont divisé par 2 pendant 3 tours (si resultat = 1 alors vous n'avancez pas),OK,
Bonus,Pâtes à la boconaise,Votre compagnon a décidé de préparer un petit plat,2+,OK,
Malus,Mes pareeeents !!!,Vous perdez tous vos compagnons humains,,OK,
Bonus,Métissage,Vous êtes le fruit d'un beau mélange,Vous pouvez avoir 2 races,N/A,
Bonus,La bibliothèque,vous trouvez un parchemin,,OK,
Malus,Plante à croissance instantané,Vous vous retrouvé au milieu d'un champs dont vous aurez du mal à vous en échapper,Vous ètes bloqué pendant 2 tours,OK,
Neutre,L'objet le moins utile du monde,il est là mais ne sert à rien,aucun,OK,
Trouvaille,L'épée maudite,tout l'oposé de excalibur et si vous l'attraper vous serai obliger de la garder,gain d'une épée ,,à voir les stats
Bonus,Pissenlit,Oh un pissenlit ! Sûrement le dernier de la saison,santé 2+,OK,
Bonus,Bientot les exams,"Vous pouvez lancé un dé pour apprendre un sort, si vous en avez suffisament vous pouvez rejouer",,OK,
Malus,Mains moites,Votre arme vous glisse des doigts,Vous perdez votre arme,OK,
Bonus,Colis mystérieux,Vous pouvez lancé le dé 1d6 pour tenté d'ouvrir le colis [Non : 1-3] [Oui : 4-5] ,100 pièces,OK,
Malus,Prison,Vous vous faites arrêter pour trouble à l'ordre public,"Vous ne jouez pas pendant 2 tours, à part si vous faites un 6",OK,
Neutre,Permutation,Les joueurs échange leur fiche pendant 2 tours,,OK,
Bonus,Autostop,Vous avez été prit en autostop par des vagabonds,Avancez de 3 cases,OK,
Malus,Chomage technique,L'évolution du marché financier ma foi...,Vous perdez vos classes,OK,
Neutre,Auberge de jeunesse,"Vous passez la nuit dans une auberge, mais au matin vous avez perdu vos bières","Santé +3, mais vous perdez votre équipements le plus faible ",OK,
Bonus,Vol à la tire,"Vous pouvez volez un objet à un adversaire, si vous avez trop d'objets vous pouvez le vendre",,OK,
Neutre,Transition forcé,Changement de sexe,,OK,
Bonus,Le faux rescapé,Jetez le 1d3 pour savoir le nb de pièce que vous lui donnerez (ex : 1=10 ),Vous perdez des pièces,OK,
Neutre,Reconversion,Tirez au hasard une nouvelle classe,,OK,
Bonus,Mariage forcé,"Tirez un compagnon ""humain"" au hasard",,OK,
Bonus,Appropriation culturelle,"Vous perdez toutes vos races, tirer en une nouvelle au hasard",Changement de race,OK,
Neutre,Guerre nationale ,"Tirez 2 cases monstre aléatoire, tous les joueurs combates, les gains sont cumulés ",Combat immédiat ,OK,
Malus,Crise de foie,Vous avez mal supportez votre soiree piquette,2- de vie,OK,
Malus,Diabète,"Lors de votre prochain combat, vous ne pourrez pas vous nourrir ",,OK,
Neutre,Coup de poker,Tous les joueurs mise sur un nombre parmi 1d20. Le joueur dont le résultat est le plus loin donne 1d3 au joueur dont le résultat est le plus proche. (Ex: 1 = 10),,OK,
Malus,Flebite,Perdez vos bottes,,OK,
Malus,La goutte,Vous perdez vos bottes si vous êtes riches,,OK,
Neutre,Armagedon,Tous les joueurs se battent entre eux,Le vainqueur gagne 1 NIV et 100 pièces ,OK,
Neutre,Prise d'otage ,Combattez un monstre ou payer 500 pièces ,,OK,
Malus,Erreur de l'administation : pas de diplôme !,Vous oubliez un sort,,OK,
Malus,Intolérance au lactose,-2 si vous avez un objet contenant du fromage,,OK,
Malus,Taxe royale ,Payez 200 pièces ou hypothéquez vos objects ,,OK,
Malus,Vous ètes plus belle que la sorcière,Vous devenez une grandmère,,A revoir,Revoir effet 
Neutre,Miroir miroir dit-moi qui est le plus...? ,jet de charisme,"en cas d'échec, - 3 points de charisque, si vous gagnez +3",OK,
Neutre,Bras de fer,"jet de force entre joueur, jusqu'à ce qu'une personne perde","le perdant -2 force, le gagnant +2 force ",OK,
